Forma	Frec. gral.	Frec. norm.
De	233013	696.949
estaba	230026	688.015
tanto	227839	681.473
país	227271	679.774
tres	227050	679.113
siempre	220231	658.718
mundo	219737	657.24
algo	219339	656.05
menos	219324	656.005
después	216847	648.596
tan	216055	646.227
otra	212663	636.081
nada	211397	632.295
sido	209326	626.1
forma	206148	616.595
2	205530	614.746
sí	204467	611.567
ahora	203338	608.19
antes	200978	601.131
durante	199590	596.98
poco	198628	594.102
casa	198556	593.887
mucho	195859	585.82
momento	194840	582.772
mejor	192139	574.693
trabajo	190778	570.623
les	190631	570.183
quien	190380	569.432
caso	187635	561.222
están	187316	560.268
personas	186644	558.258
aunque	185938	556.146
mayor	184763	552.632
lugar	184534	551.947
sino	183029	547.445
gran	182642	546.288
contra	181143	541.804
hecho	175515	524.971
Si	175114	523.771
primera	174947	523.272
ver	174841	522.955
hacia	174801	522.835
ellos	174008	520.463
Lo	173766	519.739
unos	172240	515.175
estos	167297	500.39
mientras	167262	500.286
cuenta	167240	500.22
Me	165786	495.871
Para	164706	492.641
manera	162458	485.917
días	162029	484.634
decir	161979	484.484
tenía	160511	480.093
3	159930	478.355
Un	159026	475.652
otras	156932	469.388
ante	155449	464.953
cómo	154108	460.942
va	154037	460.729
pasado	152206	455.253
millones	151389	452.809
tener	150410	449.881
tienen	150125	449.028
Al	149613	447.497
nuevo	148714	444.808
veces	147524	441.249
solo	147376	440.806
hoy	145082	433.945
Una	144512	432.24
casi	144157	431.178
todas	143859	430.287
hombre	141856	424.296
sea	141422	422.997
cosas	141384	422.884
primer	140986	421.693
embargo	137904	412.475
según	136329	407.764
debe	135996	406.768
luego	135406	405.003
esto	135197	404.378
tu	134150	401.247
cual	133795	400.185
mujer	133660	399.781
algunos	133642	399.727
medio	133010	397.837
Con	132996	397.795
nunca	132734	397.011
pues	132667	396.811
entonces	132563	396.5
Qué	132529	396.398
pueden	131997	394.807
fueron	131873	394.436
además	131794	394.2
tipo	131679	393.856
toda	131056	391.992
5	129525	387.413
4	128379	383.985
misma	127473	381.276
gente	126921	379.625
dice	126571	378.578
historia	125711	376.005
lado	125336	374.884
noche	124539	372.5
poder	124207	371.507
estar	123754	370.152
Yo	123270	368.704
Sin	122616	366.748
presidente	122559	366.578
ciudad	122278	365.737
frente	121209	362.54
fuera	120802	361.322
importante	120051	359.076
estas	119229	356.618
mí	118942	355.759
fin	118659	354.913
aquí	118632	354.832
cuatro	118436	354.246
Cuando	118303	353.848
grupo	117638	351.859
agua	117621	351.808
mujeres	117194	350.531
sistema	115993	346.939
través	114298	341.869
tal	113380	339.123
muchos	112952	337.843
información	111674	334.02
hizo	110620	330.868
social	110607	330.829
desarrollo	110440	330.329
política	110268	329.815
mis	109939	328.831
aún	109835	328.52
cualquier	109711	328.149
proceso	109562	327.703
dentro	109431	327.311
ejemplo	109273	326.839
final	109268	326.824
haber	109074	326.244
madre	109001	326.025
mano	108936	325.831
nuestro	108668	325.029
he	108587	324.787
España	108535	324.631
punto	108350	324.078
general	107861	322.615
equipo	107729	322.221
tras	107544	321.667
padre	107254	320.8
bajo	107131	320.432
Nacional	105838	316.565
será	105798	316.445
habían	105402	315.261
ojos	104901	313.762
países	104891	313.732
000	103862	310.654
horas	102844	307.609
6	102431	306.374
Estado	102393	306.261
Como	101616	303.936
tarde	101429	303.377
estado	101274	302.914
situación	99492	297.584
acuerdo	99481	297.551
Este	98595	294.901
grandes	98501	294.619
Gobierno	97700	292.224
relación	96997	290.121
Así	96890	289.801
cinco	96600	288.933
10	96306	288.054
Su	96285	287.991
sentido	96173	287.656
mil	96035	287.244
cuerpo	95976	287.067
esos	95900	286.84
niños	95886	286.798
nivel	95741	286.364
nuestra	95694	286.224
cambio	95611	285.975
gobierno	95456	285.512
eran	95310	285.075
nadie	94366	282.252
posible	94170	281.665
Estados	93991	281.13
realidad	93419	279.419
nueva	93324	279.135
sé	93211	278.797
ello	92744	277.4
meses	92591	276.942
cabeza	92009	275.202
parece	91825	274.651
público	90468	270.592
Juan	89935	268.998
último	89893	268.873
familia	89302	267.105
Esta	89141	266.623
José	88944	266.034
mañana	88875	265.828
número	88643	265.134
podría	88368	264.311
da	88273	264.027
hora	88097	263.501
ayer	87959	263.088
verdad	87946	263.049
partir	87826	262.69
dar	87710	262.343
San	87663	262.203
muchas	87633	262.113
salud	87181	260.761
partido	87089	260.486
Además	86660	259.203
alguna	86576	258.951
podía	86551	258.877
nombre	85977	257.16
unas	85894	256.912
llegar	85653	256.191
obra	85206	254.854
allí	85123	254.605
Unidos	85032	254.333
segundo	84929	254.025
ahí	84913	253.977
problemas	84108	251.57
manos	83935	251.052
Ya	83632	250.146
proyecto	82858	247.831
incluso	82651	247.212
También	82539	246.877
algunas	82170	245.773
junto	81725	244.442
semana	81504	243.781
mdash	81374	243.392
algún	81224	242.943
nosotros	81050	242.423
iba	80915	242.019
muerte	80670	241.286
largo	80428	240.563
diferentes	80156	239.749
persona	80140	239.701
casos	79820	238.744
nacional	79814	238.726
falta	79765	238.58
hombres	79696	238.373
7	78657	235.265
población	78377	234.428
ir	78293	234.177
quienes	78144	233.731
problema	78006	233.318
esas	77732	232.499
uso	77646	232.242
estudio	77610	232.134
20	77380	231.446
voz	77107	230.629
puerta	76876	229.938
igual	76816	229.759
mal	76807	229.732
sociedad	76788	229.675
paso	76317	228.266
varios	76175	227.842
Le	75534	225.924
tuvo	75495	225.808
saber	75421	225.586
buena	75384	225.476
dio	75329	225.311
idea	75234	225.027
tema	74757	223.6
modo	74695	223.415
30	74341	222.356
México	74213	221.973
usted	74117	221.686
centro	73852	220.894
todavía	73175	218.869
trata	73108	218.668
mayoría	72904	218.058
atención	72663	217.337
8	72604	217.161
Madrid	72210	215.982
cosa	71968	215.258
tú	71957	215.226
palabras	71757	214.627
minutos	71740	214.576
hablar	71709	214.484
dicho	71620	214.218
libro	71303	213.269
Desde	71246	213.099
mercado	71170	212.872
sería	71051	212.516
datos	70894	212.046
claro	70784	211.717
Hay	70712	211.502
producción	70651	211.319
tengo	70472	210.784
espacio	70280	210.21
luz	70097	209.662
seguridad	69985	209.327
recursos	69814	208.816
investigación	69475	207.802
últimos	69410	207.607
sector	68838	205.897
aquel	68710	205.514
zona	68422	204.652
servicios	68277	204.219
cierto	68149	203.836
único	68138	203.803
sociales	68083	203.638
cara	68031	203.483
Sí	67649	202.34
pueblo	67436	201.703
sabe	67360	201.476
dinero	67242	201.123
buen	67142	200.824
hijo	67091	200.671
15	67082	200.644
pesar	67001	200.402
Según	66987	200.36
empresa	66950	200.249
ellas	66857	199.971
calidad	66836	199.908
van	66722	199.567
amor	66685	199.457
Carlos	66651	199.355
calle	66651	199.355
primero	66490	198.874
música	66486	198.862
Ahora	66467	198.805
quiere	66343	198.434
condiciones	65979	197.345
cuanto	65893	197.088
0	65861	196.992
empresas	65777	196.741
respecto	65641	196.334
segunda	65203	195.024
siglo	65024	194.489
hemos	64628	193.304
seis	64535	193.026
alguien	64480	192.862
cerca	64313	192.362
total	64171	191.937
propio	64081	191.668
última	63924	191.199
camino	63879	191.064
hacía	63861	191.01
puntos	63634	190.331
programa	63590	190.2
María	63480	189.871
director	63138	188.848
resultados	63039	188.552
hijos	62932	188.231
ciento	62890	188.106
derecho	62770	187.747
juego	62343	186.47
Luis	62098	185.737
Era	62031	185.537
presencia	62030	185.534
estaban	61911	185.178
estoy	61894	185.127
propia	61805	184.861
edad	61482	183.895
creo	61337	183.461
hubiera	61149	182.898
puesto	60852	182.01
llegó	60741	181.678
joven	60733	181.654
tenemos	60666	181.454
visto	60634	181.358
siendo	60092	179.737
papel	60005	179.477
allá	59867	179.064
salir	59828	178.947
capacidad	59775	178.789
ningún	59771	178.777
jóvenes	59721	178.627
DE	59690	178.535
actividad	59682	178.511
base	59370	177.577
deben	59251	177.222
seguir	58956	176.339
dólares	58894	176.154
nuevos	58838	175.986
vista	58560	175.155
9	58345	174.512
pasar	58252	174.233
alto	57966	173.378
12	57834	172.983
ley	57757	172.753
nuevas	57691	172.556
voy	57632	172.379
dado	57463	171.874
Aunque	57453	171.844
medida	57413	171.724
varias	57389	171.652
Esto	57256	171.254
aquella	57135	170.892
futuro	57086	170.746
actividades	57030	170.578
Que	57014	170.531
grupos	56971	170.402
personal	56948	170.333
estamos	56627	169.373
medios	56617	169.343
campo	56558	169.167
razón	56400	168.694
control	56339	168.512
educación	56239	168.213
Cómo	56181	168.039
niño	56174	168.018
demás	55828	166.983
objetivo	55640	166.421
siguiente	55549	166.149
mes	55420	165.763
apenas	55378	165.637
Eso	55063	164.695
valor	55055	164.671
quería	54950	164.357
tierra	54902	164.214
fuerza	54679	163.547
sigue	54669	163.517
guerra	54573	163.229
primeros	54489	162.978
necesario	54286	162.371
pasa	54161	161.997
derechos	54136	161.922
dejar	54123	161.884
experiencia	54120	161.875
haya	54110	161.845
productos	54079	161.752
tenido	53975	161.441
pensar	53970	161.426
Te	53935	161.321
hacen	53901	161.22
riesgo	53895	161.202
difícil	53851	161.07
quién	53712	160.654
padres	53687	160.579
principal	53650	160.469
soy	53635	160.424
media	53609	160.346
nuestros	53609	160.346
aire	53388	159.685
tampoco	53202	159.129
resto	53161	159.006
servicio	53078	158.758
anterior	52875	158.151
arte	52844	158.058
ex	52798	157.92
pronto	52761	157.81
imagen	52716	157.675
quiero	52704	157.639
posibilidad	52665	157.523
encuentra	52641	157.451
serie	52550	157.179
Dios	52506	157.047
ambos	52449	156.877
menor	52371	156.643
Mi	52235	156.236
español	52170	156.042
ninguna	52122	155.898
bueno	52069	155.74
muestra	51901	155.237
Después	51794	154.917
principio	51631	154.43
haciendo	51578	154.271
estudios	51542	154.164
obras	51474	153.96
interés	51437	153.85
cultura	51416	153.787
Universidad	51254	153.302
político	51251	153.293
cuales	51248	153.284
políticas	51241	153.263
capital	51202	153.147
mediante	51159	153.018
conocer	50906	152.261
existe	50896	152.231
debido	50794	151.926
resultado	50701	151.648
tomar	50660	151.526
necesidad	50621	151.409
aquellos	50486	151.005
mesa	50252	150.305
orden	50238	150.263
actual	50049	149.698
alta	49985	149.507
apoyo	49968	149.456
fondo	49895	149.237
especial	49796	148.941
amigos	49777	148.884
O	49714	148.696
internacional	49543	148.185
cabo	49446	147.894
crisis	49384	147.709
participación	49349	147.604
Entre	49291	147.431
diez	49237	147.269
Todo	49227	147.239
permite	49125	146.934
gracias	49113	146.898
fuerte	49075	146.785
efecto	49013	146.599
decisión	48993	146.54
decía	48750	145.813
modelo	48660	145.544
respuesta	48653	145.523
análisis	48573	145.283
evitar	48542	145.191
11	48537	145.176
conjunto	48476	144.993
mirada	48370	144.676
sabía	48298	144.461
presente	48128	143.952
50	48125	143.943
Luego	48124	143.94
vamos	48075	143.794
favor	47971	143.483
Fue	47960	143.45
cantidad	47942	143.396
acción	47880	143.211
puedo	47808	142.995
dejó	47605	142.388
euros	47599	142.37
silencio	47536	142.182
quedó	47088	140.842
podemos	47052	140.734
queda	46709	139.708
región	46614	139.424
época	46597	139.373
suelo	46561	139.265
local	46442	138.909
importancia	46422	138.85
parecía	46412	138.82
crecimiento	46120	137.946
comunicación	46041	137.71
demasiado	46018	137.641
pública	45963	137.477
Europa	45906	137.306
comunidad	45652	136.546
palabra	45611	136.424
encuentro	45581	136.334
miedo	45560	136.271
importantes	45527	136.173
25	45521	136.155
Argentina	45511	136.125
pudo	45456	135.96
siquiera	45362	135.679
interior	45302	135.5
relaciones	45201	135.198
lleva	45169	135.102
siete	44959	134.474
vivir	44903	134.306
duda	44900	134.297
mayores	44879	134.234
conocimiento	44795	133.983
carrera	44642	133.526
Entonces	44568	133.304
encima	44505	133.116
trabajar	44479	133.038
espera	44409	132.829
principales	44395	132.787
habría	44382	132.748
ayuda	44278	132.437
dónde	44269	132.41
acciones	44254	132.365
América	44218	132.257
pregunta	44164	132.096
construcción	44140	132.024
Ella	44133	132.003
Chile	44113	131.943
cambios	44002	131.611
autoridades	43992	131.581
próximo	43987	131.566
única	43920	131.366
atrás	43853	131.166
pasó	43851	131.16
formación	43778	130.941
alrededor	43770	130.917
volver	43709	130.735
realizar	43645	130.544
consumo	43631	130.502
acceso	43580	130.349
área	43502	130.116
formas	43439	129.927
partidos	43382	129.757
línea	43365	129.706
Ministerio	43351	129.664
libros	43317	129.562
organización	43284	129.464
boca	43258	129.386
grande	43211	129.245
movimiento	43144	129.045
cine	43141	129.036
dije	43068	128.818
medidas	43046	128.752
pueda	42875	128.24
cuarto	42874	128.237
18	42710	127.747
película	42576	127.346
energía	42571	127.331
libertad	42547	127.259
pequeño	42372	126.736
Colombia	42298	126.515
amigo	42207	126.242
Antonio	42156	126.09
mejores	42143	126.051
ve	41999	125.62
metros	41908	125.348
especialmente	41870	125.234
bastante	41850	125.175
viene	41821	125.088
LA	41819	125.082
enfermedad	41712	124.762
miembros	41664	124.618
humanos	41622	124.493
mismos	41567	124.328
ocho	41466	124.026
14	41430	123.918
Mientras	41351	123.682
poner	41347	123.67
común	41289	123.497
diferencia	41278	123.464
color	41153	123.09
temas	40991	122.605
clase	40974	122.554
origen	40910	122.363
ministro	40889	122.3
seguro	40881	122.276
encontrar	40824	122.106
llevar	40775	121.959
políticos	40754	121.896
violencia	40650	121.585
busca	40626	121.514
baja	40567	121.337
viaje	40553	121.295
natural	40520	121.197
libre	40509	121.164
par	40438	120.951
pie	40438	120.951
señor	40326	120.616
humano	40294	120.521
elementos	40238	120.353
tratamiento	40229	120.326
momentos	40214	120.281
éxito	40213	120.278
estuvo	40207	120.26
cama	40168	120.144
dirección	40151	120.093
economía	40117	119.991
cargo	40091	119.913
prensa	40058	119.815
jefe	40001	119.644
instituciones	39975	119.566
compañía	39950	119.492
contrario	39930	119.432
proyectos	39929	119.429
televisión	39923	119.411
mar	39898	119.336
hacerlo	39739	118.861
100	39671	118.657
16	39613	118.484
mucha	39611	118.478
13	39582	118.391
Más	39521	118.208
vuelta	39513	118.185
corazón	39405	117.862
sangre	39378	117.781
especie	39371	117.76
causa	39340	117.667
mitad	39339	117.664
procesos	39315	117.592
económica	39304	117.559
lejos	39266	117.446
pocos	39188	117.212
fácil	39158	117.123
función	38896	116.339
tenían	38732	115.849
éste	38715	115.798
programas	38676	115.681
gusta	38588	115.418
oportunidad	38533	115.253
carácter	38450	115.005
hija	38330	114.646
naturaleza	38298	114.55
económico	38270	114.467
cultural	38208	114.281
acerca	38204	114.269
preguntó	38141	114.081
posición	38132	114.054
puso	38058	113.833
suerte	38052	113.815
Durante	38012	113.695
40	38010	113.689
Él	37899	113.357
real	37869	113.267
Son	37825	113.136
memoria	37783	113.01
plan	37669	112.669
buscar	37657	112.633
producto	37554	112.325
supuesto	37506	112.182
ambiente	37483	112.113
materia	37476	112.092
sola	37476	112.092
explicó	37418	111.918
tecnología	37399	111.862
mundial	37334	111.667
tiempos	37312	111.601
dolor	37258	111.44
volvió	37228	111.35
efectos	37201	111.269
valores	36963	110.557
pacientes	36887	110.33
autor	36833	110.169
sitio	36816	110.118
Ley	36812	110.106
piel	36773	109.989
Miguel	36767	109.971
vino	36766	109.968
niveles	36676	109.699
médico	36675	109.696
Porque	36572	109.388
Nueva	36566	109.37
Manuel	36550	109.322
creación	36426	108.951
ndash	36404	108.885
partes	36400	108.873
semanas	36380	108.814
nuestras	36359	108.751
mantener	36322	108.64
señaló	36299	108.571
entrada	36227	108.356
vio	36202	108.281
17	36196	108.263
deja	36192	108.251
Hasta	36160	108.156
Santa	36007	107.698
teléfono	35966	107.575
tus	35957	107.548
sean	35847	107.219
comenzó	35846	107.216
pequeña	35762	106.965
blanco	35687	106.741
hubo	35646	106.618
sueño	35619	106.537
Todos	35588	106.445
práctica	35563	106.37
fecha	35520	106.241
entrar	35511	106.214
Nos	35483	106.131
llega	35458	106.056
peso	35444	106.014
policía	35377	105.814
Sólo	35364	105.775
Pedro	35291	105.556
estudiantes	35205	105.299
enero	35162	105.171
República	35071	104.898
diciembre	35056	104.854
propuesta	35024	104.758
viejo	34948	104.531
existen	34943	104.516
precio	34889	104.354
cuyo	34886	104.345
gestión	34885	104.342
EL	34678	103.723
especies	34651	103.642
adelante	34614	103.532
Consejo	34580	103.43
cuya	34571	103.403
zonas	34481	103.134
capaz	34471	103.104
etc	34463	103.08
negro	34347	102.733
red	34258	102.467
encuentran	34144	102.126
figura	34133	102.093
campaña	34106	102.012
distintos	34091	101.967
rostro	34063	101.883
llamado	34051	101.848
temporada	34010	101.725
Mundial	33970	101.605
existencia	33954	101.557
Venezuela	33872	101.312
García	33845	101.231
sol	33819	101.154
características	33776	101.025
digo	33760	100.977
entender	33755	100.962
escuela	33654	100.66
explica	33648	100.642
habla	33620	100.558
resulta	33593	100.478
hermano	33590	100.469
ciencia	33552	100.355
imágenes	33420	99.96
lucha	33396	99.888
sistemas	33389	99.867
marcha	33368	99.805
trabajadores	33346	99.739
ti	33309	99.628
lugares	33258	99.476
acto	33251	99.455
has	33183	99.251
Cuba	33154	99.165
domingo	33152	99.159
Barcelona	33139	99.12
mira	33073	98.922
debía	32998	98.698
diario	32992	98.68
alimentos	32966	98.602
peor	32958	98.578
Francisco	32912	98.441
sectores	32902	98.411
llegado	32846	98.243
presenta	32733	97.905
19	32724	97.878
ocasiones	32691	97.78
equipos	32659	97.684
marco	32629	97.594
ideas	32581	97.451
central	32563	97.397
24	32551	97.361
Uno	32465	97.104
título	32376	96.838
teatro	32362	96.796
aspectos	32337	96.721
estructura	32297	96.601
fútbol	32251	96.464
española	32243	96.44
plazo	32187	96.272
lograr	32184	96.263
jugadores	32174	96.233
Hoy	32156	96.18
particular	32152	96.168
marzo	32140	96.132
detrás	32122	96.078
Centro	32079	95.949
hechos	32060	95.892
contar	32035	95.818
aumento	32009	95.74
Santiago	32005	95.728
reunión	31832	95.21
ciudadanos	31826	95.193
Salud	31784	95.067
00	31760	94.995
daba	31750	94.965
niña	31733	94.914
serán	31698	94.81
Esa	31683	94.765
crear	31666	94.714
esfuerzo	31647	94.657
texto	31643	94.645
informe	31641	94.639
Jorge	31596	94.505
jugar	31576	94.445
escenario	31575	94.442
oficial	31555	94.382
Instituto	31493	94.197
áreas	31423	93.987
tienes	31417	93.969
ido	31410	93.948
prueba	31391	93.891
distintas	31354	93.781
don	31339	93.736
mamá	31298	93.613
superior	31269	93.527
términos	31253	93.479
familias	31236	93.428
toma	31234	93.422
Brasil	31208	93.344
suficiente	31169	93.227
salida	31155	93.186
novela	31136	93.129
técnico	31101	93.024
pequeños	31084	92.973
Internet	31079	92.958
locales	31059	92.898
Pues	30920	92.483
21	30907	92.444
animales	30900	92.423
doctor	30870	92.333
cuestión	30863	92.312
río	30838	92.237
sala	30808	92.148
café	30763	92.013
centros	30712	91.861
objeto	30611	91.558
pone	30570	91.436
tendrá	30545	91.361
Congreso	30536	91.334
hicieron	30521	91.289
estás	30469	91.134
artículo	30434	91.029
lista	30410	90.957
conocido	30401	90.93
profesional	30377	90.859
opinión	30371	90.841
C	30369	90.835
llevó	30362	90.814
asunto	30361	90.811
mayo	30332	90.724
elecciones	30319	90.685
mejorar	30278	90.562
principios	30276	90.556
aseguró	30235	90.434
Fernando	30213	90.368
dan	30201	90.332
cocina	30182	90.275
Está	30137	90.141
somos	30122	90.096
arriba	30074	89.952
factores	30045	89.865
fuentes	30041	89.854
destino	30027	89.812
Sus	30021	89.794
expresión	29975	89.656
Ese	29972	89.647
material	29934	89.533
estilo	29918	89.486
22	29888	89.396
pareja	29869	89.339
paz	29824	89.204
viernes	29818	89.187
género	29778	89.067
habrá	29717	88.884
llama	29715	88.878
salió	29685	88.789
inversión	29676	88.762
espacios	29660	88.714
muerto	29636	88.642
recuerdo	29613	88.573
calles	29604	88.546
visión	29595	88.52
piso	29534	88.337
territorio	29532	88.331
comunidades	29520	88.295
ganar	29519	88.292
defensa	29464	88.128
Pablo	29459	88.113
dejado	29443	88.065
dicen	29431	88.029
escena	29428	88.02
General	29385	87.891
obstante	29368	87.841
habitación	29357	87.808
ésta	29344	87.769
Francia	29310	87.667
ocasión	29284	87.589
cierta	29271	87.55
empezó	29264	87.529
profesionales	29202	87.344
etapa	29083	86.988
60	29076	86.967
vía	29037	86.851
derecha	29028	86.824
Rodríguez	28986	86.698
Ni	28982	86.686
fuerzas	28908	86.465
responsabilidad	28903	86.45
izquierda	28855	86.306
primeras	28820	86.201
precios	28781	86.085
2006	28717	85.893
considera	28712	85.878
cambiar	28703	85.852
comida	28703	85.852
públicos	28626	85.621
octubre	28620	85.603
confianza	28598	85.537
cielo	28590	85.514
sábado	28521	85.307
rato	28502	85.25
Estos	28458	85.119
kilómetros	28429	85.032
González	28427	85.026
2000	28426	85.023
ejercicio	28391	84.918
distancia	28387	84.906
junio	28359	84.823
julio	28356	84.814
concepto	28320	84.706
quizá	28311	84.679
familiar	28309	84.673
pena	28287	84.607
conseguir	28274	84.568
marca	28261	84.529
abril	28250	84.497
enfermedades	28247	84.488
realmente	28240	84.467
propios	28218	84.401
popular	28212	84.383
comer	28166	84.245
imposible	28149	84.195
López	28142	84.174
puedan	28136	84.156
fuego	28129	84.135
personajes	28116	84.096
trabajos	28110	84.078
protección	28102	84.054
necesidades	28097	84.039
ropa	28076	83.976
militar	28048	83.892
pesos	28043	83.877
Tras	28036	83.857
diversos	27985	83.704
Comisión	27980	83.689
década	27966	83.647
esperar	27966	83.647
internacionales	27905	83.465
industria	27895	83.435
enorme	27843	83.279
perdido	27839	83.267
2005	27807	83.172
York	27800	83.151
Cada	27794	83.133
noviembre	27781	83.094
tenga	27775	83.076
condición	27761	83.034
2003	27739	82.968
debería	27739	82.968
ámbito	27734	82.953
significa	27718	82.905
lunes	27716	82.899
contenido	27700	82.852
demanda	27684	82.804
500	27663	82.741
visita	27656	82.72
impacto	27654	82.714
2008	27653	82.711
organizaciones	27650	82.702
barrio	27648	82.696
perder	27647	82.693
nueve	27613	82.591
aplicación	27545	82.388
vas	27500	82.253
sur	27492	82.229
líder	27441	82.077
contexto	27400	81.954
decisiones	27397	81.945
septiembre	27384	81.906
españoles	27381	81.897
grado	27341	81.778
consecuencia	27314	81.697
diferente	27254	81.518
aspecto	27230	81.446
brazos	27228	81.44
norte	27205	81.371
posibilidades	27201	81.359
nacionales	27150	81.206
referencia	27134	81.159
selección	27122	81.123
siguientes	27114	81.099
período	27090	81.027
podrían	27081	81.0
informó	27062	80.943
2004	27016	80.806
intereses	27001	80.761
Internacional	26992	80.734
carne	26990	80.728
generación	26985	80.713
febrero	26972	80.674
tercera	26970	80.668
2007	26966	80.656
técnica	26957	80.629
esté	26888	80.423
afirmó	26879	80.396
vuelve	26828	80.243
2002	26822	80.225
casas	26804	80.172
escribir	26784	80.112
humana	26767	80.061
familiares	26752	80.016
inglés	26703	79.869
23	26690	79.831
recién	26679	79.798
fundamental	26675	79.786
Había	26670	79.771
actores	26664	79.753
Bueno	26640	79.681
clave	26554	79.424
finalmente	26549	79.409
Nunca	26515	79.307
objetivos	26510	79.292
preguntas	26510	79.292
indicó	26496	79.25
produce	26468	79.167
ciudades	26446	79.101
empleo	26444	79.095
señala	26441	79.086
Unión	26431	79.056
2001	26400	78.963
leer	26398	78.957
obtener	26398	78.957
estadounidense	26390	78.933
doble	26385	78.918
edificio	26340	78.784
tercer	26207	78.386
lengua	26190	78.335
alumnos	26177	78.296
últimas	26161	78.248
pies	26158	78.239
versión	26152	78.221
deseo	26143	78.194
razones	26130	78.156
pelo	26124	78.138
2010	26112	78.102
m	26109	78.093
cumplir	26068	77.97
jamás	26067	77.967
The	25992	77.743
menores	25985	77.722
darle	25978	77.701
estrategia	25971	77.68
literatura	25946	77.605
Policía	25941	77.59
carta	25933	77.566
conciencia	25925	77.542
finales	25923	77.536
artista	25921	77.53
negocio	25917	77.519
ocurre	25863	77.357
diversas	25860	77.348
delante	25849	77.315
larga	25810	77.198
llevaba	25795	77.154
pasos	25792	77.145
marido	25786	77.127
mala	25772	77.085
compañeros	25766	77.067
juntos	25760	77.049
contacto	25732	76.965
discurso	25699	76.866
torno	25692	76.846
sentía	25689	76.837
precisamente	25680	76.81
plantas	25673	76.789
inicio	25667	76.771
necesita	25656	76.738
altura	25633	76.669
aquellas	25625	76.645
sensación	25616	76.618
solución	25610	76.6
pidió	25589	76.537
identidad	25562	76.457
golpe	25509	76.298
Antes	25503	76.28
Educación	25481	76.214
eres	25477	76.202
justicia	25443	76.101
usuarios	25425	76.047
hospital	25411	76.005
profesor	25401	75.975
institución	25397	75.963
llamada	25394	75.954
sabes	25382	75.918
cuidado	25368	75.876
80	25367	75.873
mismas	25314	75.715
agosto	25272	75.589
coche	25264	75.565
Perú	25239	75.491
tipos	25195	75.359
edición	25110	75.105
realizado	25107	75.096
Real	25031	74.868
ofrece	25024	74.848
redes	24975	74.701
cree	24971	74.689
justo	24953	74.635
club	24932	74.572
motivo	24918	74.53
abajo	24886	74.435
competencia	24880	74.417
fuente	24815	74.222
diseño	24803	74.187
directamente	24791	74.151
responsable	24775	74.103
fiesta	24770	74.088
ingresos	24720	73.938
podido	24711	73.911
u	24688	73.843
naturales	24665	73.774
reforma	24650	73.729
artistas	24648	73.723
veía	24638	73.693
gesto	24633	73.678
miles	24632	73.675
personaje	24591	73.552
médicos	24533	73.379
Aquí	24531	73.373
esposa	24521	73.343
Creo	24517	73.331
tamaño	24500	73.28
fiscal	24487	73.241
Partido	24451	73.134
respeto	24421	73.044
pagar	24372	72.897
paciente	24367	72.882
Buenos	24366	72.879
públicas	24364	72.873
voluntad	24357	72.853
hablando	24353	72.841
aparece	24349	72.829
víctimas	24344	72.814
máximo	24313	72.721
decidió	24284	72.634
lenguaje	24246	72.521
actitud	24244	72.515
clases	24235	72.488
señora	24232	72.479
